,Default Ensemble Good,Default Ensemble Left,Crossdock Default2018 Ensemble Good,Crossdock Default2018 Ensemble Left,Crossdock Dense Ensemble Good,Crossdock Dense Ensemble Left,General Default2018 Ensemble Good,General Default2018 Ensemble Left,Redock Default2018 Ensemble Good,Redock Default2018 Ensemble Left,All Ensemble Good,All Ensemble Left
0.24,72.69736842105263,99.90610328638498,66.18924630194881,99.97652582159624,68.9557855126999,99.81220657276995,66.61951909476662,99.57746478873241,70.22828900917864,99.74178403755869,72.59050305594734,99.85915492957749
0.25,72.69736842105263,99.90610328638498,66.18924630194881,99.97652582159624,68.9557855126999,99.81220657276995,66.61164819618016,99.55399061032864,70.27790861987752,99.67136150234744,72.62464722483537,99.81220657276995
0.26,72.69736842105263,99.90610328638498,66.18924630194881,99.97652582159624,68.9557855126999,99.81220657276995,66.64307619721632,99.50704225352112,70.29446407538279,99.64788732394364,72.62464722483537,99.81220657276995
0.27,72.73154677950164,99.85915492957749,66.18924630194881,99.97652582159624,68.98823529411764,99.76525821596243,66.67453386830304,99.46009389671362,70.34417727487035,99.57746478873241,72.62464722483537,99.81220657276995
0.28,72.73154677950164,99.85915492957749,66.18924630194881,99.97652582159624,69.03696727101483,99.69483568075115,66.69815777042986,99.38967136150237,70.36076397076161,99.55399061032864,72.62464722483537,99.81220657276995
0.29,72.73154677950164,99.85915492957749,66.18924630194881,99.97652582159624,69.03696727101483,99.69483568075115,66.74545024816828,99.31924882629109,70.36076397076161,99.55399061032864,72.64173135732769,99.7887323943662
0.3,72.74864801316717,99.83568075117373,66.18924630194881,99.97652582159624,69.03696727101483,99.69483568075115,66.77701584298889,99.27230046948357,70.41057102406795,99.48356807511736,72.64173135732769,99.7887323943662
0.31,72.74864801316717,99.83568075117373,66.19685224336386,99.92957746478874,69.03696727101483,99.69483568075115,66.80075721722669,99.20187793427229,70.43683589138134,99.4131455399061,72.64173135732769,99.7887323943662
0.32,72.74864801316717,99.83568075117373,66.2124060150376,99.90610328638498,69.03696727101483,99.69483568075115,66.89573459715639,99.06103286384977,70.45347189418989,99.38967136150237,72.64173135732769,99.7887323943662
0.33,72.78287461773702,99.7887323943662,66.2124060150376,99.90610328638498,69.03696727101483,99.69483568075115,66.91159042427114,99.03755868544602,70.47011575714623,99.3661971830986,72.65882352941176,99.76525821596243
0.34,72.78287461773702,99.7887323943662,66.22796709753231,99.88262910798124,69.05322656617993,99.67136150234744,66.95136417556347,98.94366197183099,70.52009456264776,99.2957746478873,72.67592374676393,99.74178403755869
0.35000000000000003,72.78287461773702,99.7887323943662,66.24353549600376,99.85915492957749,69.05322656617993,99.67136150234744,66.95136417556347,98.94366197183099,70.57014431038561,99.22535211267606,72.69303201506591,99.71830985915493
0.36,72.78287461773702,99.7887323943662,66.25911121561249,99.83568075117373,69.05322656617993,99.67136150234744,67.0149608169081,98.84976525821597,70.57014431038561,99.22535211267606,72.74440518256773,99.64788732394364
0.37,72.83427495291902,99.71830985915493,66.25911121561249,99.83568075117373,69.08576814326108,99.62441314553992,67.0149608169081,98.84976525821597,70.5965909090909,99.15492957746478,72.77869432005656,99.60093896713616
0.38,72.86858219500706,99.67136150234744,66.29028463890849,99.7887323943662,69.11834040546911,99.57746478873241,67.04680446661915,98.80281690140845,70.62307510068703,99.08450704225352,72.84736966265629,99.50704225352112
0.39,72.90292177191328,99.62441314553992,66.30588235294118,99.76525821596243,69.16725642840292,99.50704225352112,67.08680142687278,98.70892018779342,70.64959696538644,99.01408450704227,72.87535410764873,99.43661971830986
0.4,72.90292177191328,99.62441314553992,66.29795245940221,99.74178403755869,69.18357715903728,99.48356807511736,67.11089957163257,98.63849765258215,70.72649572649573,98.87323943661973,72.90977798771847,99.38967136150237
0.41,72.98891247935833,99.50704225352112,66.32917353425947,99.69483568075115,69.18357715903728,99.48356807511736,67.15102429728442,98.54460093896714,70.7432913797198,98.84976525821597,72.9550827423168,99.2957746478873
0.42,73.04060434372049,99.43661971830986,66.37585475123792,99.55399061032864,69.19990559358037,99.46009389671362,67.18303145853193,98.49765258215963,70.76009501187649,98.82629107981221,73.00686065767684,99.22535211267606
0.43,73.0751062824752,99.38967136150237,66.4071715027129,99.50704225352112,69.19990559358037,99.46009389671362,67.29574773053035,98.26291079812206,70.78678393154266,98.75586854460094,73.09332070108951,99.10798122065727
0.44,73.12692034979911,99.31924882629109,66.42284096271828,99.48356807511736,69.21624173748819,99.43661971830986,67.36842105263158,98.1220657276995,70.87101380295098,98.63849765258215,73.0869462212746,99.08450704225352
0.45,73.16150390163159,99.27230046948357,66.46989374262101,99.4131455399061,69.23258559622197,99.4131455399061,67.45746465372633,97.95774647887323,70.90476190476191,98.59154929577466,73.15627223144416,98.9906103286385
0.46,73.19612017979654,99.22535211267606,66.48559282002834,99.38967136150237,69.23258559622197,99.4131455399061,67.60326609029778,97.74647887323944,70.94852240228789,98.49765258215963,73.19098457888494,98.94366197183099
0.47,73.24810606060606,99.15492957746478,66.51690707022937,99.27230046948357,69.26529648003779,99.3661971830986,67.66121270452358,97.5586854460094,70.98235574630425,98.45070422535211,73.22572988369333,98.89671361502349
0.48,73.32859174964437,99.01408450704227,66.54837946534184,99.22535211267606,69.28166351606805,99.34272300469485,67.82440906898215,97.32394366197184,70.96851145038168,98.4037558685446,73.24311490978158,98.87323943661973
0.49,73.34598055489684,98.9906103286385,66.58773383850344,99.131455399061,69.28166351606805,99.34272300469485,67.82692772540489,97.11267605633805,70.99546431129149,98.33333333333331,73.26050819282831,98.84976525821597
0.5,73.40930674264007,98.87323943661973,66.60350544765514,99.10798122065727,69.33081106644596,99.27230046948357,67.92544178165093,96.9718309859155,70.99856665074057,98.26291079812206,73.30004755111744,98.73239436619718
