,CD_good,CD_left,Def2017_good,Def2017_left,Dense_good,Dense_left,Gen_good,Gen_left,RD_good,RD_left
0.6900000000000001,66.74074074074075,95.07042253521126,53.32648343180067,91.3849765258216,66.23717489859222,98.38028169014085,68.72302614876872,92.46478873239437,72.39185750636132,92.25352112676056
0.7000000000000001,66.92307692307692,94.60093896713614,53.60371996900027,90.86854460093898,66.30045378552663,98.28638497652582,68.8248789191945,92.08920187793427,72.513423676809,91.8075117370892
0.71,67.08198355345128,94.2018779342723,53.68639667705089,90.4225352112676,66.3321385902031,98.23943661971832,69.0238278247502,91.61971830985915,72.5918314924223,91.3849765258216
0.72,67.35205616850551,93.6150234741784,53.795982259326905,89.97652582159624,66.4193393968406,98.07511737089202,69.22282468370771,90.91549295774648,73.01011148561058,90.53990610328638
0.73,67.64408493427705,92.86384976525821,53.90256678889471,89.6244131455399,66.4908916586769,97.93427230046949,69.31052358735096,90.56338028169014,73.16118935837245,90.0
0.74,67.8835843757978,91.94835680751173,54.042665262048985,89.13145539906104,66.53061224489795,97.76995305164318,69.54367666232073,90.02347417840375,73.29143754909663,89.64788732394366
0.75,68.22983767070343,91.10328638497653,54.08406026962728,88.80281690140845,66.57053592886325,97.67605633802818,69.59033613445378,89.38967136150234,73.52476290832455,89.10798122065728
0.76,68.63920750782064,90.0469483568075,54.354194407456724,88.14553990610328,66.63456909003371,97.51173708920187,69.91525423728814,88.63849765258216,73.7735348713869,88.52112676056339
0.77,69.05074940836182,89.27230046948357,54.47241564006428,87.65258215962442,66.68273866923819,97.37089201877934,70.0613169821381,88.05164319248826,74.02144772117963,87.55868544600939
0.78,69.62193823216187,88.16901408450704,54.670626349892004,86.94835680751174,66.81169929900894,97.11267605633803,70.28556034482759,87.13615023474178,74.45828819068255,86.66666666666667
0.79,69.95962314939435,87.20657276995306,54.88270594653574,86.05633802816901,66.94114797771857,96.92488262910798,70.44776119402985,86.50234741784037,74.9109832922487,85.70422535211267
